"","CASRN","SMILES","EndPt","Source"
"49","868-77-9","CC(=C)C(=O)OCCO","RB","Mansouri"
"50","2358-84-1","CC(=C)C(=O)OCCOCCOC(=O)C(C)=C","RB","Mansouri"
"51","623-91-6","CCOC(=O)\C=C\C(=O)OCC","RB","Mansouri"
"52","79-43-6","OC(=O)C(Cl)Cl","RB","Mansouri"
"53","683-10-3","CCCCCCCCCCCC[N+](C)(C)CC([O-])=O","RB","Mansouri"
"54","617-45-8","NC(CC(O)=O)C(O)=O","RB","Mansouri"
"55","298-12-4","OC(=O)C=O","RB","Mansouri"
"56","372-09-8","OC(=O)CC#N","RB","Mansouri"
"57","4292-10-8","CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O","RB","Mansouri"
"58","78-83-1","CC(C)CO","RB","Mansouri"
"59","103429-90-9","COC(C)(C)CCOC(C)=O","RB","Mansouri"
"60","620-17-7","CCc1cccc(O)c1","RB","Mansouri"
"61","123-07-9","CCc1ccc(O)cc1","RB","Mansouri"
"62","105-67-9","Cc1ccc(O)c(C)c1","RB","Mansouri"
"63","91-16-7","COc1ccccc1OC","RB","Mansouri"
"64","140-11-4","CC(=O)OCc1ccccc1","RB","Mansouri"
"65","104-54-1","OC/C=C/c1ccccc1","RB","Mansouri"
"66","123-08-0","Oc1ccc(C=O)cc1","RB","Mansouri"
"67","121-33-5","COc1cc(C=O)ccc1O","RB","Mansouri"
"68","118-90-1","Cc1ccccc1C(O)=O","RB","Mansouri"
"69","131-11-3","COC(=O)c1ccccc1C(=O)OC","RB","Mansouri"
"70","84-69-5","CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C","RB","Mansouri"
"71","1459-93-4","COC(=O)c1cccc(c1)C(=O)OC","RB","Mansouri"
"72","552-30-7","OC(=O)c1ccc2C(=O)OC(=O)c2c1","RB","Mansouri"
"73","120-51-4","O=C(OCc1ccccc1)c2ccccc2","RB","Mansouri"
"74","99-96-7","OC(=O)c1ccc(O)cc1","RB","Mansouri"
"75","98-67-9","Oc1ccc(cc1)[S](O)(=O)=O","RB","Mansouri"
"76","99-85-4","CC(C)C1=CCC(=CC1)C","RB","Mansouri"
"77","108-93-0","OC1CCCCC1","RB","Mansouri"
"78","5726-19-2","CC1CCCCC1OC(C)=O","RB","Mansouri"
"79","115-86-6","O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3","RB","Mansouri"
"80","104-87-0","Cc1ccc(C=O)cc1","RB","Mansouri"
"81","76-22-2","CC1(C)C2CCC1(C)C(=O)C2","RB","Mansouri"
"82","80-56-8","CC1=CCC2CC1C2(C)C","RB","Mansouri"
"83","507-70-0","CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2","RB","Mansouri"
"84","674-82-8","C=C1CC(=O)O1","RB","Mansouri"
"85","87-41-2","O=C1OCc2ccccc12","RB","Mansouri"
"86","98-01-1","O=Cc1occc1","RB","Mansouri"
"87","97-99-4","OCC1CCCO1","RB","Mansouri"
"88","85-41-6","O=C1NC(=O)c2ccccc12","RB","Mansouri"
"89","872-50-4","CN1CCCC1=O","RB","Mansouri"
"90","120-72-9","[nH]1ccc2ccccc12","RB","Mansouri"
"91","1120-71-4","O=[S]1(=O)CCCO1","RB","Mansouri"
"92","4719-04-4","OCCN1CN(CCO)CN(CCO)C1","RB","Mansouri"
"93","26226-72-2","CCOC(=O)c1ccc(NC(=O)CCl)cc1","RB","Mansouri"
"94","987-78-0","C[N+](C)(C)O[P]([O-])(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=NC2=O)N","RB","Mansouri"
"95","150-30-1","NC(Cc1ccccc1)C(O)=O","RB","Mansouri"
"96","56-89-3","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","RB","Mansouri"
"97","112-95-8","CCCCCCCCCCCCCCCCCCCC","RB","Mansouri"
"98","78-81-9","CC(C)CN","RB","Mansouri"
"99","124-40-3","CNC","RB","Mansouri"
"100","109-89-7","CCNCC","RB","Mansouri"
"101","64-17-5","CCO","RB","Mansouri"
"102","67-63-0","CC(C)O","RB","Mansouri"
"103","104-76-7","CCCCC(CC)CO","RB","Mansouri"
"104","111-87-5","CCCCCCCCO","RB","Mansouri"
"105","112-70-9","CCCCCCCCCCCCCO","RB","Mansouri"
"106","546-68-9","CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C","RB","Mansouri"
"107","110-63-4","OCCCCO","RB","Mansouri"
"108","143-28-2","CCCCCCCCC=CCCCCCCCCO","RB","Mansouri"
"109","107-18-6","OCC=C","RB","Mansouri"
"110","141-43-5","NCCO","RB","Mansouri"
"111","2517-43-3","COC(C)CCO","RB","Mansouri"
"112","75-07-0","CC=O","RB","Mansouri"
"113","78-84-2","CC(C)C=O","RB","Mansouri"
"114","108-10-1","CC(C)CC(C)=O","RB","Mansouri"
"115","123-54-6","CC(=O)CC(C)=O","RB","Mansouri"
"116","60-33-3","CCCCC\C=C/C/C=C\CCCCCCCC(O)=O","RB","Mansouri"
"117","123-62-6","CCC(=O)OC(=O)CC","RB","Mansouri"
"118","105-74-8","CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC","RB","Mansouri"
"119","7360-38-5","CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC","RB","Mansouri"
"120","105-46-4","CCC(C)OC(C)=O","RB","Mansouri"
"121","111-15-9","CCOCCOC(C)=O","RB","Mansouri"
"122","626-86-8","CCOC(=O)CCCCC(O)=O","RB","Mansouri"
"123","40677-77-8","CCCCCCCC\C=C/CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC\C=C/CCCCCCCC","RB","Mansouri"
"124","111-20-6","OC(=O)CCCCCCCCC(O)=O","RB","Mansouri"
"125","821-38-5","OC(=O)CCCCCCCCCCCCC(O)=O","RB","Mansouri"
"126","141-17-3","CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC","RB","Mansouri"
"127","105-53-3","CCOC(=O)CC(=O)OCC","RB","Mansouri"
"128","123-28-4","CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC","RB","Mansouri"
"129","95-92-1","CCOC(=O)C(=O)OCC","RB","Mansouri"
"130","688-84-6","CCCCC(CC)COC(=O)C(C)=C","RB","Mansouri"
"131","97-88-1","CCCCOC(=O)C(C)=C","RB","Mansouri"
"132","32360-05-7","CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C","RB","Mansouri"
"133","110-16-7","OC(=O)\C=C/C(O)=O","RB","Mansouri"
"134","79-14-1","OCC(O)=O","RB","Mansouri"
"135","13562-76-0","CCC(C)OC(=O)CC(C)=O","RB","Mansouri"
"136","126-98-7","CC(=C)C#N","RB","Mansouri"
"137","107-68-6","CNCC[S](O)(=O)=O","RB","Mansouri"
"138","541-41-3","CCOC(Cl)=O","RB","Mansouri"
"139","2627-35-2","CCCCCCCCCCCCO[P](O)(O)=O","RB","Mansouri"
"140","123-35-3","CC(C)=CCCC(=C)C=C","RB","Mansouri"
"141","556-52-5","OCC1CO1","RB","Mansouri"
"142","928-96-1","CC\C=C/CCO","RB","Mansouri"
"143","5131-66-8","CCCCOCC(C)O","RB","Mansouri"
"144","95-08-9","CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC","RB","Mansouri"
"145","869-29-4","CC(=O)OC(OC(C)=O)C=C","RB","Mansouri"
"146","1758-73-2","NC(=N)[S](O)=O","RB","Mansouri"
"147","99-87-6","CC(C)c1ccc(C)cc1","RB","Mansouri"
"148","64-04-0","NCCc1ccccc1","RB","Mansouri"
"149","108-95-2","Oc1ccccc1","RB","Mansouri"
"150","120-80-9","Oc1ccccc1O","RB","Mansouri"
"151","150-76-5","COc1ccc(O)cc1","RB","Mansouri"
"152","93-15-2","COc1ccc(CC=C)cc1OC","RB","Mansouri"
"153","88-06-2","Oc1c(Cl)cc(Cl)cc1Cl","RB","Mansouri"
"154","122-03-2","CC(C)c1ccc(C=O)cc1","RB","Mansouri"
"155","121-32-4","CCOc1cc(C=O)ccc1O","RB","Mansouri"
"156","89-32-7","O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12","RB","Mansouri"
"157","84-66-2","CCOC(=O)c1ccccc1C(=O)OCC","RB","Mansouri"
"158","85-68-7","CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2","RB","Mansouri"
"159","131-17-9","C=CCOC(=O)c1ccccc1C(=O)OCC=C","RB","Mansouri"
"160","120-61-6","COC(=O)c1ccc(cc1)C(=O)OC","RB","Mansouri"
"161","536-66-3","CC(C)c1ccc(cc1)C(O)=O","RB","Mansouri"
"162","85-44-9","O=C1OC(=O)c2ccccc12","RB","Mansouri"
"163","94-36-0","O=C(OOC(=O)c1ccccc1)c2ccccc2","RB","Mansouri"
"164","1726-23-4","CCCCOC(=O)c1ccc(C(=O)OCCCC)c(c1)C(=O)OCCCC","RB","Mansouri"
"165","65-85-0","OC(=O)c1ccccc1","RB","Mansouri"
"166","150-13-0","Nc1ccc(cc1)C(O)=O","RB","Mansouri"
"167","87-20-7","CC(C)CCOC(=O)c1ccccc1O","RB","Mansouri"
"168","69-72-7","OC(=O)c1ccccc1O","RB","Mansouri"
"169","50-78-2","CC(=O)Oc1ccccc1C(O)=O","RB","Mansouri"
"170","2881-83-6","CCOC(=O)CC(=O)c1ccc(OC)cc1","RB","Mansouri"
"171","98-11-3","O[S](=O)(=O)c1ccccc1","RB","Mansouri"
"172","108-94-1","O=C1CCCCC1","RB","Mansouri"
"173","93-09-4","OC(=O)c1ccc2ccccc2c1","RB","Mansouri"
"174","120-57-0","O=Cc1ccc2OCOc2c1","RB","Mansouri"
"175","626-64-2","O=C1C=CNC=C1","RB","Mansouri"
"176","93-10-7","OC(=O)c1ccc2ccccc2n1","RB","Mansouri"
"177","828-00-2","CC1CC(OC(C)O1)OC(C)=O","RB","Mansouri"
"178","105-60-2","O=C1CCCCCN1","RB","Mansouri"
"179","50-70-4","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","RB","Mansouri"
"180","1338-41-6","CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O","RB","Mansouri"
"181","72-87-7","CC(=O)NC1C(O)OC(CO)C(O)C1O","RB","Mansouri"
"182","6291-84-5","CNCCCN","RB","Mansouri"
"183","1120-48-5","CCCCCCCCNCCCCCCCC","RB","Mansouri"
"184","506-52-5","CCCCCCCCCCCCCCCCCCCCCCCCCCO","RB","Mansouri"
"185","123-96-6","CCCCCCC(C)O","RB","Mansouri"
"186","19780-16-6","CCCCCCCCCCCCCCCCCCC1CO1","RB","Mansouri"
"187","4457-71-0","CC(CCO)CCO","RB","Mansouri"
"188","141-79-7","CC(C)=CC(C)=O","RB","Mansouri"
"189","64-19-7","CC(O)=O","RB","Mansouri"
"190","627-83-8","CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC","RB","Mansouri"
"191","103-23-1","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC","RB","Mansouri"
"192","2432-87-3","CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC","RB","Mansouri"
"193","111-17-1","OC(=O)CCSCCC(O)=O","RB","Mansouri"
"194","79-06-1","NC(=O)C=C","RB","Mansouri"
"195","105-16-8","CCN(CC)CCOC(=O)C(C)=C","RB","Mansouri"
"196","1852-16-0","CCCCOCNC(=O)C=C","RB","Mansouri"
"197","110-17-8","OC(=O)/C=C/C(O)=O","RB","Mansouri"
"198","50-21-5","CC(O)C(O)=O","RB","Mansouri"
"199","617-48-1","OC(CC(O)=O)C(O)=O","RB","Mansouri"
"200","105-45-3","COC(=O)CC(C)=O","RB","Mansouri"
"201","142-22-3","C=CCOC(=O)OCCOCCOC(=O)OCC=C","RB","Mansouri"
"202","6104-30-9","CC(C)C(NC(N)=O)NC(N)=O","RB","Mansouri"
"203","110-93-0","CC(C)=CCCC(C)=O","RB","Mansouri"
"204","100-44-7","ClCc1ccccc1","RB","Mansouri"
"205","102-01-2","CC(=O)CC(=O)Nc1ccccc1","RB","Mansouri"
"206","2415-85-2","CC(=O)CC(=O)Nc1ccc(C)cc1","RB","Mansouri"
"207","588-46-5","CC(=O)NCc1ccccc1","RB","Mansouri"
"208","501-24-6","CCCCCCCCCCCCCCCc1cccc(O)c1","RB","Mansouri"
"209","123-31-9","Oc1ccc(O)cc1","RB","Mansouri"
"210","122-00-9","CC(=O)c1ccc(C)cc1","RB","Mansouri"
"211","28553-12-0","CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C","RB","Mansouri"
"212","121-91-5","OC(=O)c1cccc(c1)C(O)=O","RB","Mansouri"
"213","136-36-7","Oc1cccc(OC(=O)c2ccccc2)c1","RB","Mansouri"
"214","586-62-9","CC(C)=C1CCC(=CC1)C","RB","Mansouri"
"215","101-83-7","C1CCC(CC1)NC2CCCCC2","RB","Mansouri"
"216","15205-57-9","C(OP(OCc1ccccc1)OCc2ccccc2)c3ccccc3","RB","Mansouri"
"217","591-31-1","COc1cccc(C=O)c1","RB","Mansouri"
"218","92-66-0","Brc1ccc(cc1)c2ccccc2","RB","Mansouri"
"219","57-57-8","O=C1CCO1","RB","Mansouri"
"220","98-00-0","OCc1occc1","RB","Mansouri"
"221","96-48-0","O=C1CCCO1","RB","Mansouri"
"222","517-23-7","CC(=O)C1CCOC1=O","RB","Mansouri"
"223","108-32-7","CC1COC(=O)O1","RB","Mansouri"
"224","499-83-2","OC(=O)c1cccc(n1)C(O)=O","RB","Mansouri"
"225","56-40-6","NCC(O)=O","RB","Mansouri"
"226","461-72-3","O=C1CNC(=O)N1","RB","Mansouri"
"227","66-72-8","Cc1ncc(CO)c(C=O)c1O","RB","Mansouri"
"228","56-85-9","N[C@@H](CCC(N)=O)C(O)=O","RB","Mansouri"
"229","107-05-1","ClCC=C","RB","Mansouri"
"230","56-81-5","OCC(O)CO","RB","Mansouri"
"231","96-24-2","OCC(O)CCl","RB","Mansouri"
"232","108-01-0","CN(C)CCO","RB","Mansouri"
"233","34375-28-5","OCCNCO","RB","Mansouri"
"234","107-22-2","O=CC=O","RB","Mansouri"
"235","2724-58-5","CC(C)CCCCCCCCCCCCCCC(O)=O","RB","Mansouri"
"236","111-03-5","CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO","RB","Mansouri"
"237","60-35-5","CC(N)=O","RB","Mansouri"
"238","4435-53-4","COC(C)CCOC(C)=O","RB","Mansouri"
"239","142-77-8","CCCCCCCC/C=C/CCCCCCCC(=O)OCCCC","RB","Mansouri"
"240","79-10-7","OC(=O)C=C","RB","Mansouri"
"241","141-32-2","CCCCOC(=O)C=C","RB","Mansouri"
"242","96-05-9","CC(=C)C(=O)OCC=C","RB","Mansouri"
"243","74-79-3","N[C@@H](CCCN=C(N)N)C(O)=O","RB","Mansouri"
"244","8013-07-8","CCCCCC1OC1CC2OC2CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC3OC3CC4OC4CCCCC)OC(=O)CCCCCCCC5OC5CC6OC6CCCCC","RB","Mansouri"
"245","2243-27-8","CCCCCCCCC#N","RB","Mansouri"
"246","75-05-8","CC#N","RB","Mansouri"
"247","105-56-6","CCOC(=O)CC#N","RB","Mansouri"
"248","2082-80-6","CCCCCCCCCCCCCCCCCCOP(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC","RB","Mansouri"
"249","103-84-4","CC(=O)Nc1ccccc1","RB","Mansouri"
"250","100-46-9","NCc1ccccc1","RB","Mansouri"
"251","108-46-3","Oc1cccc(O)c1","RB","Mansouri"
"252","103-73-1","CCOc1ccccc1","RB","Mansouri"
"253","104-94-9","COc1ccc(N)cc1","RB","Mansouri"
"254","100-52-7","O=Cc1ccccc1","RB","Mansouri"
"255","98-86-2","CC(=O)c1ccccc1","RB","Mansouri"
"256","84-74-2","CCCCOC(=O)c1ccccc1C(=O)OCCCC","RB","Mansouri"
"257","117-81-7","CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC","RB","Mansouri"
"258","62-23-7","OC(=O)c1ccc(cc1)[N+]([O-])=O","RB","Mansouri"
"259","149-91-7","OC(=O)c1cc(O)c(O)c(O)c1","RB","Mansouri"
"260","100-47-0","N#Cc1ccccc1","RB","Mansouri"
"261","108-91-8","NC1CCCCC1","RB","Mansouri"
"262","31906-04-4","CC(C)(O)CCCC1=CCC(CC1)C=O","RB","Mansouri"
"263","1745-81-9","Oc1ccccc1CC=C","RB","Mansouri"
"264","92-52-4","c1ccc(cc1)c2ccccc2","RB","Mansouri"
"265","96-49-1","O=C1OCCO1","RB","Mansouri"
"266","142-08-5","O=C1NC=CC=C1","RB","Mansouri"
"267","110-89-4","C1CCNCC1","RB","Mansouri"
"268","101-25-7","O=NN1CN2CN(C1)CN(C2)N=O","RB","Mansouri"
"269","69-65-8","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","RB","Mansouri"
"270","3234-85-3","CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC","RB","Mansouri"
"271","629-62-9","CCCCCCCCCCCCCCC","RB","Mansouri"
"272","124-09-4","NCCCCCCN","RB","Mansouri"
"273","111-42-2","OCCNCCO","RB","Mansouri"
"274","693-36-7","CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC","RB","Mansouri"
"275","140-88-5","CCOC(=O)C=C","RB","Mansouri"
"276","103-11-7","CCCCCCCCOC(=O)C=C","RB","Mansouri"
"277","108-31-6","O=C1OC(=O)C=C1","RB","Mansouri"
"278","78-82-0","CC(C)C#N","RB","Mansouri"
"279","71-43-2","c1ccccc1","RB","Mansouri"
"280","100-66-3","COc1ccccc1","RB","Mansouri"
"281","90-04-0","COc1ccccc1N","RB","Mansouri"
"282","84-65-1","O=C1c2ccccc2C(=O)c3ccccc13","RB","Mansouri"
"283","1338-43-8","CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)C1OCC(O)C1O","RB","Mansouri"
"284","26266-57-9","CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O","RB","Mansouri"
"285","102-47-6","ClCc1ccc(Cl)c(Cl)c1","NRB","Mansouri"
"286","538-75-0","C1CCC(CC1)N=C=NC2CCCCC2","NRB","Mansouri"
"287","935-79-5","O=C1OC(=O)C2CC=CCC12","NRB","Mansouri"
"288","307-55-1","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","NRB","Mansouri"
"289","376-06-7","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","NRB","Mansouri"
"290","118-74-1","Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","NRB","Mansouri"
"291","732-26-3","CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C","NRB","Mansouri"
"292","4904-61-4","C\1C\C=C\CC\C=C\CC\C=C1","NRB","Mansouri"
"293","6731-36-8","CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C","NRB","Mansouri"
"294","595-90-4","c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)c4ccccc4","NRB","Mansouri"
"295","52184-14-2","CC(C)(C)c1cc(N=Nc2ccccc2[N+]([O-])=O)c(O)c(c1)C(C)(C)C","NRB","Mansouri"
"296","1460-02-2","CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C","NRB","Mansouri"
"297","92-86-4","Brc1ccc(cc1)c2ccc(Br)cc2","NRB","Mansouri"
"298","118-82-1","CC(C)(C)c1cc(Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C","NRB","Mansouri"
"299","115-32-2","OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl","NRB","Mansouri"
"300","72-20-8","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","NRB","Mansouri"
"301","309-00-2","ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl","NRB","Mansouri"
"302","57-74-9","ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl","NRB","Mansouri"
"303","2668-47-5","CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2ccccc2","NRB","Mansouri"
"304","4979-32-2","C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4","NRB","Mansouri"
"305","127-90-2","ClC(COCC(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl","NRB","Mansouri"
"306","12002-48-1","Clc1cccc(Cl)c1Cl","NRB","Mansouri"
"307","634-66-2","Clc1ccc(Cl)c(Cl)c1Cl","NRB","Mansouri"
"308","95-94-3","Clc1cc(Cl)c(Cl)cc1Cl","NRB","Mansouri"
"309","608-93-5","Clc1cc(Cl)c(Cl)c(Cl)c1Cl","NRB","Mansouri"
"310","1836-77-7","[O-][N+](=O)c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1","NRB","Mansouri"
"311","4821-19-6","Oc1c(cccc1C2CCCCC2)C3CCCCC3","NRB","Mansouri"
"312","101-81-5","C(c1ccccc1)c2ccccc2","NRB","Mansouri"
"313","42240-73-3","Nc1ccc(Cc2ccc(N)c(Cl)c2Cl)c(Cl)c1Cl","NRB","Mansouri"
"314","90-30-2","N(c1ccccc1)c2cccc3ccccc23","NRB","Mansouri"
"315","3030-47-5","CN(C)CCN(C)CCN(C)C","NRB","Mansouri"
"316","57-14-7","CN(C)N","NRB","Mansouri"
"317","52-51-7","OCC(Br)(CO)[N+]([O-])=O","NRB","Mansouri"
"318","115-10-6","COC","NRB","Mansouri"
"319","108-20-3","CC(C)OC(C)C","NRB","Mansouri"
"320","111-96-6","COCCOCCOC","NRB","Mansouri"
"321","624-92-0","CSSC","NRB","Mansouri"
"322","108-62-3","CC1OC(C)OC(C)OC(C)O1","NRB","Mansouri"
"323","144-48-9","NC(=O)CI","NRB","Mansouri"
"324","78-67-1","CC(C)(N=NC(C)(C)C#N)C#N","NRB","Mansouri"
"325","556-61-6","CN=C=S","NRB","Mansouri"
"326","60-34-4","CNN","NRB","Mansouri"
"327","1592-20-7","ClCc1ccc(C=C)cc1","NRB","Mansouri"
"328","117-08-8","Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl","NRB","Mansouri"
"329","611-19-8","ClCc1ccccc1Cl","NRB","Mansouri"
"330","87-62-7","Cc1cccc(C)c1N","NRB","Mansouri"
"331","95-54-5","Nc1ccccc1N","NRB","Mansouri"
"332","108-44-1","Cc1cccc(N)c1","NRB","Mansouri"
"333","106-47-8","Nc1ccc(Cl)cc1","NRB","Mansouri"
"334","83-41-0","Cc1cccc(c1C)[N+]([O-])=O","NRB","Mansouri"
"335","100-14-1","[O-][N+](=O)c1ccc(CCl)cc1","NRB","Mansouri"
"336","5329-12-4","NNc1c(Cl)cc(Cl)cc1Cl","NRB","Mansouri"
"337","585-34-2","CC(C)(C)c1cccc(O)c1","NRB","Mansouri"
"338","95-87-4","Cc1ccc(C)c(O)c1","NRB","Mansouri"
"339","536-90-3","COc1cccc(N)c1","NRB","Mansouri"
"340","89-64-5","Oc1ccc(Cl)cc1[N+]([O-])=O","NRB","Mansouri"
"341","80-15-9","CC(C)(OO)c1ccccc1","NRB","Mansouri"
"342","873-32-5","Clc1ccccc1C#N","NRB","Mansouri"
"343","111-78-4","C\1C\C=C/CC\C=C1","NRB","Mansouri"
"344","2579-20-6","NCC1CCCC(CN)C1","NRB","Mansouri"
"345","106-86-5","OC1CCC(CC1O)C=C","NRB","Mansouri"
"346","80-10-4","Cl[Si](Cl)(c1ccccc1)c2ccccc2","NRB","Mansouri"
"347","605-71-0","[O-][N+](=O)c1cccc2c1cccc2[N+]([O-])=O","NRB","Mansouri"
"348","130-15-4","O=C1C=CC(=O)c2ccccc12","NRB","Mansouri"
"349","7417-99-4","O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N4CC4","NRB","Mansouri"
"350","693-98-1","Cc1[nH]ccn1","NRB","Mansouri"
"351","100-69-6","C=Cc1ccccn1","NRB","Mansouri"
